2026-01-13 15:11:58,244 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=off | setups=on
2026-01-13 15:11:59,844 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.08%, funding +0.000066, width~0.79% |  | Funding: +0.000066 | OIΔ(15m): -11.51 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:12:29,784 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.11%, funding +0.000066, width~0.79% |  | Funding: +0.000066 | OIΔ(15m): -11.51 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:13:00,745 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.08%, funding +0.000066, width~0.79% |  | Funding: +0.000066 | OIΔ(15m): -11.51 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:13:31,723 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.11%, funding +0.000065, width~0.79% |  | Funding: +0.000065 | OIΔ(15m): -11.51 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:14:03,006 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.14%, funding +0.000065, width~0.79% |  | Funding: +0.000065 | OIΔ(15m): -11.51 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:14:32,971 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.12%, funding +0.000065, width~0.79% |  | Funding: +0.000065 | OIΔ(15m): -11.51 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:15:03,938 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.10%, funding +0.000065, width~0.79% |  | Funding: +0.000065 | OIΔ(15m): -11.51 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:15:34,904 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.01%, funding +0.000065, width~0.79% |  | Funding: +0.000065 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:16:05,854 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.19%, funding +0.000064, width~0.79% |  | Funding: +0.000064 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:16:36,815 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.17%, funding +0.000064, width~0.79% |  | Funding: +0.000064 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:17:07,793 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.06%, funding +0.000064, width~0.79% |  | Funding: +0.000064 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:17:38,763 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.10%, funding +0.000064, width~0.79% |  | Funding: +0.000064 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:18:09,723 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.27%, funding +0.000064, width~0.79% |  | Funding: +0.000064 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:18:40,690 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.27%, funding +0.000064, width~0.79% |  | Funding: +0.000064 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:19:11,657 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.28%, funding +0.000064, width~0.79% |  | Funding: +0.000064 | OIΔ(15m): +2.78 (Bybit) |  | Upper zone: 92 491 – 92 555 | Lower zone: 91 701 – 91 765
